0.005,338.4
0.01,213.1
0.015,215.4
0.02,213.7
0.025,215.6
0.03,218.5
0.035,252.4
0.04,245.6
0.045,401.4
0.05,256.6
0.055,253.4
0.06,245.6
0.065,221.3
0.07,217.7
0.075,219.8
0.08,256.9
0.085,313.3
0.09,293.8
0.095,256.5
0.1,309.5
0.105,259.2
0.11,255.5
0.115,344.9
0.12,461.2
0.125,322.7
0.13,282.8
0.135,227.9
0.14,229.1
0.145,219.3
0.15,219.0
0.155,222.4
0.16,219.9
0.165,226.9
0.17,226.1
0.175,224.6
0.18,235.0
0.185,225.8
0.19,345.0
0.195,274.2
0.2,321.8
0.205,265.9
0.21,233.7
0.215,224.1
0.22,237.9
0.225,228.6
0.23,226.6
0.235,286.4
0.24,239.2
0.245,231.9
0.25,225.8
